Location for Football Tourney,CO2,Energy,Waste, Water
Qatar 2022,"3,810,000","3,466,000",10%,"612,900"
Russia 2018,"2,100,000","3,600,000",23%,"613,000"
Brazil 2014,"2,720,000","3,000,000",10%,"740,000"
South Africa 2010,"1,650,000","3,470,000",34%,"460,000"
Germany 2006,"714,000","2,600,000",50%,"527,000"
South Korea & Japan 2002,"3,800,000","3,259,000",80%,"800,000"
France 1998,"3,200,000","3,400,000",90%,"1,000,000"
U.S. 1994,"2,800,000","3,570,000",75%,"881,000"
Italy 1990,"3,459,000","3,500,000",80%,"600,000"
Mexico 1986,"2,200,000","3,400,000",90%,"940,000"
